author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Ramenky Realty,real_estate_agent,https://www.cian.ru/sale/flat/315050156/,Москва,sale,flat,12,21,3,164.43,-1,0,178500000,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
Ramenky Realty,real_estate_agent,https://www.cian.ru/sale/flat/306942238/,Москва,sale,flat,3,7,3,154.2,-1,0,260997120,Хамовники,переулок Коробейников,1,Парк Культуры,Кристалл Хаус
Ксения Шахматова,realtor,https://www.cian.ru/sale/flat/316187942/,Москва,sale,flat,9,9,3,61.0,-1,0,22900000,Аэропорт, Усиевича,25К1,Сокол,
САДОВЫЕ КВАРТАЛЫ,real_estate_agent,https://www.cian.ru/sale/flat/315051811/,Москва,sale,flat,11,14,3,131.3,-1,0,250000000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
Ramenky Realty,real_estate_agent,https://www.cian.ru/sale/flat/304330038/,Москва,sale,flat,2,4,3,219.2,-1,0,500135731,Хамовники,Пречистенская набережная,5,Парк Культуры,Кленовый DOM
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/316321471/,Москва,sale,flat,3,5,3,61.4,-1,0,30000000,Хамовники, Плющиха,9А,Смоленская,
САДОВЫЕ КВАРТАЛЫ,real_estate_agent,https://www.cian.ru/sale/flat/315051813/,Москва,sale,flat,11,12,3,242.97,-1,0,490000000,Хамовники, Усачева,11И,Спортивная,Садовые кварталы
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/309170499/,Москва,sale,flat,5,5,3,152.0,-1,0,103000000,Красносельский,переулок Даев,31С2,Сухаревская,
Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/316440107/,Москва,sale,flat,12,23,3,82.0,-1,0,30000000,Коньково, Островитянова,53,Беляево,
Ramenky Realty,real_estate_agent,https://www.cian.ru/sale/flat/315044451/,Москва,sale,flat,2,8,3,246.0,-1,0,367027200,Хамовники,переулок Хилков,1,Парк Культуры,Парк Палас
ID 76951860,realtor,https://www.cian.ru/sale/flat/316661265/,Москва,sale,flat,9,22,3,78.0,-1,0,34900000,Хорошево-Мневники,бульвар Генерала Карбышева,18,Народное Ополчение,
Семен Гордый,realtor,https://www.cian.ru/sale/flat/286050905/,Москва,sale,flat,1,3,3,90.2,-1,0,9950000,, Николинские Ключи,25,Крёкшино,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/315973059/,Москва,sale,flat,11,13,3,149.2,-1,0,280000000,Хамовники, Усачева,11Б,Спортивная,Садовые кварталы
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/309810361/,Москва,sale,flat,5,5,3,151.6,-1,0,103000000,Красносельский,переулок Даев,31С2,Сухаревская,
Анастасия Гусева,realtor,https://www.cian.ru/sale/flat/315145942/,Москва,sale,flat,12,12,3,64.4,-1,0,27000000,Раменки, Довженко,12К2,Минская,
Isaev Estate,real_estate_agent,https://www.cian.ru/sale/flat/316565405/,Москва,sale,flat,5,9,3,93.0,-1,0,111500000,Якиманка,Лаврушинский переулок,17С2,Третьяковская,
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/316618616/,Москва,sale,flat,5,8,3,93.0,-1,0,111500000,Якиманка,Лаврушинский переулок,17С2,Третьяковская,
Марина Круглянская,realtor,https://www.cian.ru/sale/flat/316514468/,Москва,sale,flat,8,9,3,51.0,-1,0,14000000,Чертаново Центральное,Днепропетровская ,27к1,Пражская,
Downtown Estate,real_estate_agent,https://www.cian.ru/sale/flat/316610272/,Москва,sale,flat,27,41,3,79.0,-1,0,74000000,Раменки,1-й Сетуньский проезд,8,Кутузовская,Hide
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/312677884/,Москва,sale,flat,27,41,3,79.0,-1,0,74000000,Раменки,1-й Сетуньский проезд,6С6,Кутузовская,Hide
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/316772338/,Москва,sale,flat,5,5,3,59.7,-1,0,21990000,Щукино, Маршала Бирюзова,35К1,Октябрьское поле,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/311733777/,Москва,sale,flat,27,41,3,79.0,-1,0,74000000,Раменки,Парклэйн тер.,к2,Кутузовская,Hide
GLINCOM,official_representative,https://www.cian.ru/sale/flat/314843348/,Москва,sale,flat,6,8,3,94.2,-1,0,38234000,Савеловский, Верхняя Масловка,20,Петровский Парк,Verdi
CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/316937839/,Москва,sale,flat,8,12,3,50.4,-1,0,13600000,Южное Тушино,Лодочная ,31К4,Сходненская,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/311611882/,Москва,sale,flat,25,38,3,144.0,-1,0,65000000,Раменки,Мосфильмовская ,70к1,Ломоносовский проспект,Воробьевы Горы
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/247174958/,Москва,sale,flat,8,53,3,150.0,-1,0,135000000,Раменки,Мосфильмовская ,8,Ломоносовский проспект,Дом на Мосфильмовской
Агентство недвижимости Светланы Наумовой,real_estate_agent,https://www.cian.ru/sale/flat/316330536/,Москва,sale,flat,7,12,3,70.2,-1,0,20990000,Северное Тушино, Героев Панфиловцев,3,Сходненская,
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/315975609/,Москва,sale,flat,5,9,3,92.1,-1,0,112000000,Якиманка,Лаврушинский переулок,17С2,Третьяковская,
FS PROPERTY,real_estate_agent,https://www.cian.ru/sale/flat/312710345/,Москва,sale,flat,4,6,3,160.0,-1,0,240000000,Пресненский,Большой Гнездниковский переулок,3,Тверская,Респект
ID 52440830,homeowner,https://www.cian.ru/sale/flat/316827473/,Москва,sale,flat,2,12,3,92.0,-1,0,43400000,Басманный,Бакунинская ,5,Бауманская,Tatlin Apartments
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/314592214/,Москва,sale,flat,15,16,3,124.7,-1,0,205000000,Раменки,Воробьевское шоссе,4,Поклонная,Воробьёв Дом
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/316584977/,Москва,sale,flat,6,16,3,124.7,-1,0,199000000,Раменки,Воробьевское шоссе,4,Поклонная,Воробьёв Дом
CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/316857475/,Москва,sale,flat,5,5,3,83.0,-1,0,26500000,Измайлово,Первомайская ,35/18,Измайловская,
ID 109135729,realtor,https://www.cian.ru/sale/flat/312476601/,Москва,sale,flat,11,12,3,242.97,-1,0,488000000,Хамовники, Усачева,11И,Спортивная,Садовые кварталы
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/315044981/,Москва,sale,flat,11,13,3,68.8,-1,0,57500000,Раменки,проспект Генерала Дорохова,39к2Б,Минская,Собрание клубных домов West Garden
Новые Ватутинки,real_estate_agent,https://www.cian.ru/sale/flat/312758513/,Москва,sale,flat,14,14,3,84.5,-1,0,16500000,, 3-я Нововатутинская,2,Ольховая,"Новые Ватутинки, мкр. Центральный"
