author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/309623565/,Москва,sale,flat,7,14,3,68.9,-1,0,41000000,Раменки,проспект Генерала Дорохова,39к1В,Поклонная,Собрание клубных домов West Garden
Ашихмин и партнёры,real_estate_agent,https://www.cian.ru/sale/flat/308639465/,Москва,sale,flat,4,4,3,178.3,-1,0,99000000,Пресненский,Большой Козихинский переулок,10,Пушкинская,
ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,https://www.cian.ru/sale/flat/315256990/,Москва,sale,flat,9,9,3,50.0,-1,0,11400000,Чертаново Центральное, Красного Маяка,11К1,Пражская,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/302817609/,Москва,sale,flat,3,17,3,97.0,-1,0,97000000,Пресненский, Сергея Макеева,9к1,Улица 1905 года,RedSide
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/303727554/,Москва,sale,flat,5,7,3,116.8,-1,0,357500000,Тверской, Большая Дмитровка,7/5С2,Савёловская,Советник
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/316675664/,Москва,sale,flat,3,7,3,93.0,-1,0,95000000,Замоскворечье,Шлюзовая набережная,2А,Павелецкая,IM на Садовом
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/310507662/,Москва,sale,flat,2,16,3,99.0,-1,0,158700000,Раменки,Воробьевское шоссе,4,Поклонная,Воробьёв Дом
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/315973014/,Москва,sale,flat,2,14,3,182.0,-1,0,422000000,Якиманка,Большой Толмачевский переулок,5С11,Третьяковская,Дом Лаврушинский
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/315254852/,Москва,sale,flat,1,9,3,80.6,-1,0,16199999,Митино,Митинская ,15,Митино,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/314945841/,Москва,sale,flat,10,14,3,91.9,-1,0,68500000,Раменки,Минская ,1ГсА,Минская,Собрание клубных домов West Garden
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/245277094/,Москва,sale,flat,2,19,3,186.0,-1,0,220000000,Раменки,Ломоносовский проспект,25к5,Университет,Dominion
A7 Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/315718698/,Москва,sale,flat,2,12,3,59.0,-1,0,13500000,Чертаново Южное,Россошанская ,13К1,Улица Академика Янгеля,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/316007862/,Москва,sale,flat,4,9,3,186.0,-1,0,279000000,Хамовники,Саввинская набережная,13,Киевская,SAVVIN RIVER RESIDENCE
Beri,real_estate_agent,https://www.cian.ru/sale/flat/314637692/,Москва,sale,flat,3,8,3,68.3,-1,0,58000000,Красносельский,Милютинский переулок,20/2С1,Тургеневская,
RED,real_estate_agent,https://www.cian.ru/sale/flat/316311847/,Москва,sale,flat,15,17,3,75.9,-1,0,25500000,Тропарево-Никулино, Академика Анохина,9К1,Юго-Западная,
Beri,real_estate_agent,https://www.cian.ru/sale/flat/314604994/,Москва,sale,flat,7,9,3,80.1,-1,0,73500000,Тверской,Тверская ,15,Тверская,
ID 1390606,real_estate_agent,https://www.cian.ru/sale/flat/311651611/,Москва,sale,flat,4,11,3,117.0,-1,0,368000000,Хамовники, Усачева,13,Спортивная,Садовые кварталы
Самолет Плюс Москва,real_estate_agent,https://www.cian.ru/sale/flat/316407915/,Москва,sale,flat,7,10,3,73.9,-1,0,24990000,Бескудниковский,Бескудниковский бульвар,50/1,Яхромская,
Apple Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/301573903/,Москва,sale,flat,5,6,3,80.0,-1,0,73000000,Пресненский,Мерзляковский переулок,5/1,Арбатская,
ID 109135729,realtor,https://www.cian.ru/sale/flat/315051416/,Москва,sale,flat,4,5,3,150.56,-1,0,280000000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
Времена года,real_estate_agent,https://www.cian.ru/sale/flat/304329807/,Москва,sale,flat,12,14,3,92.2,-1,0,77000000,Раменки,проспект Генерала Дорохова,39к1А,Поклонная,Собрание клубных домов West Garden
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/315557962/,Москва,sale,flat,2,4,3,140.0,-1,0,172370049,Мещанский,Рождественский бульвар,10/7С1,Трубная,
Apple Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/309750410/,Москва,sale,flat,26,36,3,120.0,-1,0,109900000,Раменки,Минская ,2,Минская,Долина Сетунь
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/315038053/,Москва,sale,flat,5,31,3,86.4,-1,0,41000000,Хорошево-Мневники,Карамышевская набережная,2А,Народное Ополчение,Утесов
CENTURY 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/310431008/,Москва,sale,flat,9,12,3,106.6,-1,0,76000000,Замоскворечье,Мытная ,7с1,Серпуховская,Английский квартал
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/315411102/,Москва,sale,flat,2,4,3,137.9,-1,0,255000000,Хамовники,Пречистенская набережная,7,Парк Культуры,Кленовый DOM
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/314772566/,Москва,sale,flat,2,41,3,65.5,-1,0,67000000,Хорошевский,Ленинградский проспект,37/5,Аэропорт,Прайм Парк
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/315274449/,Москва,sale,flat,26,39,3,121.0,-1,0,109900000,Раменки,Минская ,2,Минская,Долина Сетунь
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/313643920/,Москва,sale,flat,8,42,3,130.0,-1,0,90000000,Раменки,Мосфильмовская ,70к5,Ломоносовский проспект,Воробьевы Горы
Beri,real_estate_agent,https://www.cian.ru/sale/flat/314751618/,Москва,sale,flat,3,10,3,80.4,-1,0,44890000,Таганский,Новоспасский переулок,3К2,Пролетарская,
Trust Realty,real_estate_agent,https://www.cian.ru/sale/flat/313016553/,Москва,sale,flat,6,12,3,150.0,-1,0,115000000,Замоскворечье,Климентовский переулок,2,Новокузнецкая,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/295915768/,Москва,sale,flat,8,13,3,92.1,-1,0,96705000,Раменки,проспект Генерала Дорохова,39к1,Поклонная,Собрание клубных домов West Garden
Apple Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/307958924/,Москва,sale,flat,6,12,3,146.0,-1,0,115000000,Замоскворечье,Климентовский переулок,2,Новокузнецкая,
ID 85604823,unknown,https://www.cian.ru/sale/flat/311061249/,Москва,sale,flat,40,41,3,66.0,-1,0,46000000,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,Сердце Столицы
Time Property,real_estate_agent,https://www.cian.ru/sale/flat/310512370/,Москва,sale,flat,9,16,3,106.6,-1,0,76000000,Замоскворечье,Мытная ,7с1,Серпуховская,Английский квартал
HOUSE MALL - Городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/309241509/,Москва,sale,flat,44,56,3,94.0,-1,0,42000000,Ростокино,проспект Мира,188Бк1,Ростокино,Триколор
ID 81476671,realtor,https://www.cian.ru/sale/flat/314773512/,Москва,sale,flat,9,29,3,65.5,-1,0,31000000,Фили-Давыдково, Ивана Франко,6,Кунцевская,MainStreet
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/315556568/,Москва,sale,flat,2,5,3,219.0,-1,0,500135731,Хамовники,Пречистенская набережная,5,Парк Культуры,Кленовый DOM
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/312348173/,Москва,sale,flat,1,5,3,80.0,-1,0,73000000,Хамовники,Пожарский переулок,10,Кропоткинская,
OXE CAPITAL - Элитная Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/301963145/,Москва,sale,flat,5,6,3,80.0,-1,0,70000000,Пресненский,Мерзляковский переулок,5/1,Арбатская,
NF GROUP,real_estate_agent,https://www.cian.ru/sale/flat/315775113/,Москва,sale,flat,2,4,3,137.9,-1,0,255000000,Хамовники,Пречистенская набережная,7,Парк Культуры,Кленовый DOM
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/316064711/,Москва,sale,flat,5,7,3,95.5,-1,0,55000000,Басманный,Малый Казенный переулок,16,Курская,
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/316927159/,Москва,sale,flat,18,21,3,121.5,-1,0,145000000,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/316846511/,Москва,sale,flat,7,7,3,145.0,-1,0,135000000,Пресненский,Рочдельская ,12С1,Краснопресненская,
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/315975662/,Москва,sale,flat,3,28,3,68.0,-1,0,57500000,Красносельский,Большая Спасская ,35,Площадь трёх вокзалов,Dialog
Soul Estate,real_estate_agent,https://www.cian.ru/sale/flat/316899521/,Москва,sale,flat,4,6,3,219.4,-1,0,300000000,Хамовники, Остоженка,11,Кропоткинская,Остоженка 11
NF GROUP,real_estate_agent,https://www.cian.ru/sale/flat/314302130/,Москва,sale,flat,7,7,3,145.3,-1,0,135000000,Пресненский,Рочдельская ,12С1,Краснопресненская,
OXE CAPITAL - Элитная Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/313467087/,Москва,sale,flat,3,28,3,68.0,-1,0,57500000,Красносельский,Большая Спасская ,35,Площадь трёх вокзалов,Dialog
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/296112151/,Москва,sale,flat,69,78,3,269.4,-1,0,424120320,Пресненский,набережная Пресненская,8с1,Деловой центр,Город Столиц
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/315754855/,Москва,sale,flat,25,48,3,137.6,-1,0,69879749,Щукино,Авиационная ,79К1,Щукинская,Алые Паруса
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/316585431/,Москва,sale,flat,22,41,3,74.2,-1,0,45500000,Раменки,1-й Сетуньский проезд,8,Кутузовская,Hide
BRIGHT ESTATE - городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/316789814/,Москва,sale,flat,11,13,3,100.0,-1,0,280000000,Хамовники, Усачева,15,Спортивная,Садовые кварталы
Apple Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/316736481/,Москва,sale,flat,23,73,3,184.0,-1,0,110000000,Пресненский,набережная Пресненская,8с1,Деловой центр,Город Столиц
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/315879117/,Москва,sale,flat,1,5,3,78.4,-1,0,73000000,Хамовники,Пожарский переулок,10,Кропоткинская,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/309829189/,Москва,sale,flat,7,10,3,124.0,-1,0,310000000,Мещанский,Звонарский переулок,3,Трубная,Zvonarsky Deluxe
ЗАПАДНЫЙ САД,real_estate_agent,https://www.cian.ru/sale/flat/316941185/,Москва,sale,flat,9,14,3,67.0,-1,0,57000000,Раменки,проспект Генерала Дорохова,39к1Б,Поклонная,Собрание клубных домов West Garden
Villagio Realty,real_estate_agent,https://www.cian.ru/sale/flat/316171447/,Москва,sale,flat,39,41,3,80.0,-1,0,50990000,Раменки,1-й Сетуньский проезд,8,Кутузовская,Hide
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/315561813/,Москва,sale,flat,4,8,3,110.0,-1,0,93795840,Хамовники,Гагаринский переулок,28,Смоленская,
Champine,real_estate_agent,https://www.cian.ru/sale/flat/316709381/,Москва,sale,flat,6,13,3,101.1,-1,0,60963630,Южнопортовый,Сосинская ,8,Волгоградский проспект,Champine
NF GROUP,real_estate_agent,https://www.cian.ru/sale/flat/303224245/,Москва,sale,flat,23,76,3,184.0,-1,0,110000000,Пресненский,набережная Пресненская,8с1,Деловой центр,Город Столиц
BRIGHT ESTATE - городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/314626929/,Москва,sale,flat,10,14,3,132.3,-1,0,260000000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
BRIGHT ESTATE - городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/312676561/,Москва,sale,flat,6,11,3,113.0,-1,0,226000000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
BRIGHT ESTATE - городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/312676566/,Москва,sale,flat,3,14,3,105.2,-1,0,195000000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
BRIGHT ESTATE - городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/315236500/,Москва,sale,flat,4,14,3,105.0,-1,0,210000000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
Ramenky Realty,real_estate_agent,https://www.cian.ru/sale/flat/312871366/,Москва,sale,flat,6,11,3,118.0,-1,0,236000000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
NF GROUP,real_estate_agent,https://www.cian.ru/sale/flat/316449363/,Москва,sale,flat,8,36,3,65.7,-1,0,49000000,Хорошево-Мневники,Шелепихинская набережная,34к3,Шелепиха,
NF GROUP,real_estate_agent,https://www.cian.ru/sale/flat/316795424/,Москва,sale,flat,3,13,3,142.1,-1,0,299000000,Хамовники,Погодинская ,2,Киевская,Жизнь на Плющихе
OXE CAPITAL - Элитная Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/314168126/,Москва,sale,flat,3,8,3,116.0,-1,0,97500000,Пресненский,Столярный переулок,3к34,Улица 1905 года,Рассвет Loft-Studio
OXE CAPITAL - Элитная Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/316615414/,Москва,sale,flat,8,9,3,108.0,-1,0,159000000,Тверской,Тверская ,9,Охотный ряд,
Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/314731984/,Москва,sale,flat,3,6,3,130.6,-1,0,274260000,Якиманка,Софийская набережная,18,Боровицкая,"Золотой, жилой квартал"
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/315095998/,Москва,sale,flat,7,10,3,177.5,-1,0,128000000,Пресненский, Климашкина,17С2,Улица 1905 года,Панорама
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/311242296/,Москва,sale,flat,1,5,3,78.4,-1,0,73000000,Хамовники,Пожарский переулок,10,Кропоткинская,
Капиталъ-Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/310776672/,Москва,sale,flat,2,5,3,125.0,-1,0,130000000,Замоскворечье,Большой Ордынский переулок,4С4,Третьяковская,Собрание клубных домов ORDYNKA
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/300614227/,Москва,sale,flat,5,7,3,116.8,-1,0,357500000,Тверской, Большая Дмитровка,7/5С2,Театральная,Советник
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/312554751/,Москва,sale,flat,5,9,3,92.1,-1,0,112000000,Якиманка,Лаврушинский переулок,17С2,Третьяковская,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/313380614/,Москва,sale,flat,7,10,3,177.7,-1,0,128000000,Пресненский, Климашкина,17С2,Улица 1905 года,Панорама
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/313852078/,Москва,sale,flat,2,11,3,103.0,-1,0,62900000,Арбат,Смоленская набережная,2А,Смоленская,
NF GROUP,real_estate_agent,https://www.cian.ru/sale/flat/308338964/,Москва,sale,flat,2,6,3,131.1,-1,0,110000000,Тверской, Малая Дмитровка,23/15С2,Пушкинская,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/312149256/,Москва,sale,flat,2,6,3,121.9,-1,0,130000000,Замоскворечье,Большой Ордынский переулок,4С4,Третьяковская,Собрание клубных домов ORDYNKA
Point Estate Город,real_estate_agent,https://www.cian.ru/sale/flat/314636162/,Москва,sale,flat,11,41,3,115.0,-1,0,115000000,Хорошевский,Ленинградский проспект,37/4,ЦСКА,Прайм Парк
Винидиктов и Партнеры,real_estate_agent,https://www.cian.ru/sale/flat/314208076/,Москва,sale,flat,14,25,3,83.2,-1,0,65000000,Хорошево-Мневники,Живописная ,21А,Серебряный Бор,Дом Серебряный Бор
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/315412985/,Москва,sale,flat,13,14,3,71.1,-1,0,67000000,Раменки,проспект Генерала Дорохова,39к1В,Поклонная,Собрание клубных домов West Garden
Point Estate Город,real_estate_agent,https://www.cian.ru/sale/flat/316710005/,Москва,sale,flat,23,32,3,83.6,-1,0,76076000,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/316594308/,Москва,sale,flat,10,34,3,102.6,-1,0,109990000,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9
Downtown Estate,real_estate_agent,https://www.cian.ru/sale/flat/316610259/,Москва,sale,flat,1,10,3,119.0,-1,0,140000000,Дорогомилово, Братьев Фонченко,1к7,Парк Победы,Victory Park Residences
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/315757910/,Москва,sale,flat,2,6,3,126.0,-1,0,138500000,Хамовники,Зубовская ,7,Парк Культуры,Roza Rossa
Downtown Estate,real_estate_agent,https://www.cian.ru/sale/flat/316610258/,Москва,sale,flat,1,11,3,144.0,-1,0,187000000,Дорогомилово, Братьев Фонченко,1к4,Парк Победы,Victory Park Residences
САДОВЫЕ КВАРТАЛЫ,real_estate_agent,https://www.cian.ru/sale/flat/307404793/,Москва,sale,flat,5,12,3,136.9,-1,0,279900000,Хамовники, Усачева,13,Спортивная,Садовые кварталы
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/316934974/,Москва,sale,flat,10,32,3,102.6,-1,0,109990000,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/316932856/,Москва,sale,flat,24,32,3,83.6,-1,0,76912000,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9
Isaev Estate,real_estate_agent,https://www.cian.ru/sale/flat/316850795/,Москва,sale,flat,28,33,3,78.0,-1,0,52500000,Обручевский,Ленинский проспект,95Б,Новаторская,The MID
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/310334461/,Москва,sale,flat,13,32,3,86.7,-1,0,90000000,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9
NF GROUP,real_estate_agent,https://www.cian.ru/sale/flat/307962802/,Москва,sale,flat,9,38,3,70.0,-1,0,30500000,Хорошевский,Хорошевское шоссе,12к1,Беговая,Дом на Беговой
ID 63229285,homeowner,https://www.cian.ru/sale/flat/315720295/,Москва,sale,flat,28,36,3,78.0,-1,0,52500000,Обручевский,Ленинский проспект,95Б,Новаторская,The MID
NF GROUP,real_estate_agent,https://www.cian.ru/sale/flat/305062348/,Москва,sale,flat,14,20,3,132.5,-1,0,125000000,Гагаринский, Косыгина,13к1,Воробьёвы горы,Фамильный дом Воробьево
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/308136515/,Москва,sale,flat,6,12,3,120.9,-1,0,72200000,Мещанский,Протопоповский переулок,17С2,Проспект Мира,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/315641180/,Москва,sale,flat,22,32,3,83.6,-1,0,75240000,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9
ID 85604823,unknown,https://www.cian.ru/sale/flat/313419849/,Москва,sale,flat,3,6,3,77.0,-1,0,46000000,Пресненский,Шмитовский проезд,39к8,Москва-Сити,Headliner
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/315549778/,Москва,sale,flat,5,10,3,131.0,-1,0,131000000,Тверской,Большая Грузинская ,69,Белорусская,Четыре Ветра
NF GROUP,real_estate_agent,https://www.cian.ru/sale/flat/316371474/,Москва,sale,flat,7,9,3,135.0,-1,0,166000000,Замоскворечье, Бахрушина,13,Павелецкая,
Est-a-Tet Агент,real_estate_agent,https://www.cian.ru/sale/flat/316312662/,Москва,sale,flat,15,28,3,97.2,-1,0,52500000,Раменки,Винницкая ,8к1,Раменки,Настоящее
ID 85604823,unknown,https://www.cian.ru/sale/flat/313745975/,Москва,sale,flat,40,42,3,66.0,-1,0,46000000,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,Сердце Столицы
ID 76939319,homeowner,https://www.cian.ru/sale/flat/316769330/,Москва,sale,flat,5,8,3,68.3,-1,0,44900000,Раменки,Университетский проспект,23К2,Ломоносовский проспект,
