author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
ID 108172779,real_estate_agent,https://www.cian.ru/sale/flat/315053628/,Москва,sale,flat,5,8,2,111.6,-1,0,109479600,Таганский,Славянская площадь,2/5с1,Китай-город,LUMIN
Диалог Риэлт,real_estate_agent,https://www.cian.ru/sale/flat/314283147/,Москва,sale,flat,5,5,2,60.0,-1,0,13000000,Лосиноостровский,Анадырский проезд,21,Бабушкинская,
Mr.Flip,real_estate_agent,https://www.cian.ru/sale/flat/316922759/,Москва,sale,flat,2,9,2,44.4,-1,0,10150000,Северное Тушино, Героев Панфиловцев,18С1,Планерная,
ID 101216343,realtor,https://www.cian.ru/sale/flat/315514720/,Москва,sale,flat,5,8,2,47.0,-1,0,38000000,Пресненский,Большой Кондратьевский переулок,4С1,Белорусская,
САДОВЫЕ КВАРТАЛЫ,real_estate_agent,https://www.cian.ru/sale/flat/316130769/,Москва,sale,flat,9,14,2,99.71,-1,0,210000000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
LAND.ru,real_estate_agent,https://www.cian.ru/sale/flat/316518851/,Москва,sale,flat,7,12,2,46.3,-1,0,8550000,Савёлки,Зеленоград,к339Б,Зеленоград — Крюково,
ID 108172779,real_estate_agent,https://www.cian.ru/sale/flat/306823110/,Москва,sale,flat,5,8,2,82.4,-1,0,82317600,Таганский,Славянская площадь,2/5с1,Китай-город,LUMIN
GLINCOM,official_representative,https://www.cian.ru/sale/flat/313392637/,Москва,sale,flat,5,8,2,79.9,-1,0,29469000,Савеловский, Верхняя Масловка,20,Петровский Парк,Verdi
МГСН-Проспект Мира,real_estate_agent,https://www.cian.ru/sale/flat/315559988/,Москва,sale,flat,4,9,2,39.0,-1,0,15690000,Войковский,Ленинградское шоссе,22,Балтийская,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/311033212/,Москва,sale,flat,9,14,2,67.0,-1,0,57000000,Раменки,проспект Генерала Дорохова,39к1Б,Поклонная,Собрание клубных домов West Garden
Ramenky Realty,real_estate_agent,https://www.cian.ru/sale/flat/310774802/,Москва,sale,flat,28,29,2,53.4,-1,0,49000000,Якиманка,Мытная ,40к1,Серпуховская,Sky House
ТКБ БАНК,real_estate_agent,https://www.cian.ru/sale/flat/294458255/,Москва,sale,flat,1,9,2,48.2,-1,0,6050000,Матушкино,Зеленоград,к433,Зеленоград — Крюково,
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/302081797/,Москва,sale,flat,2,10,2,69.4,-1,0,69900000,Тверской, Палиха,4,Менделеевская,Клубный дом Maison Rouge
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/316634002/,Москва,sale,flat,33,41,2,72.8,-1,0,68000000,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/315938438/,Москва,sale,flat,7,12,2,52.1,-1,0,11300000,Бирюлево Восточное,Липецкая ,13,Лебедянская,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/314214696/,Москва,sale,flat,24,41,2,72.0,-1,0,68500000,Хорошевский,Ленинградский проспект,37/4,ЦСКА,Прайм Парк
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/315756080/,Москва,sale,flat,5,18,2,96.0,-1,0,84000000,Элегантная кв-ра в е Пресни2-комн. квартира,96 м²,,,
ID 104975303,homeowner,https://www.cian.ru/sale/flat/312155484/,Москва,sale,flat,4,5,2,43.0,-1,0,13300000,Щукино,Новощукинская ,9,Щукинская,
Ильдар Канафеев,realtor,https://www.cian.ru/sale/flat/316813304/,Москва,sale,flat,5,13,2,79.0,-1,0,61500000,Раменки,Винницкая ,8к3,Раменки,Настоящее
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/316117457/,Москва,sale,flat,24,36,2,71.8,-1,0,68500000,Хорошевский,Ленинградский проспект,37/4,ЦСКА,Прайм Парк
CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/316854279/,Москва,sale,flat,4,5,2,32.0,-1,0,15990000,Донской, Шаболовка,46К1,Шаболовская,
Новые Ватутинки,real_estate_agent,https://www.cian.ru/sale/flat/314716710/,Москва,sale,flat,4,15,2,59.7,-1,0,12500000,, Гренадерская,9к3,Ольховая,"Новые Ватутинки, мкр. Десна"
Семен Гордый,realtor,https://www.cian.ru/sale/flat/313476314/,Москва,sale,flat,2,9,2,72.3,-1,0,8400000,, Семена Гордого,12,Крёкшино,Ново-Никольское
Самолет Плюс Москва ЮГ,real_estate_agent,https://www.cian.ru/sale/flat/315761244/,Москва,sale,flat,6,9,2,44.4,-1,0,11000000,Ховрино,Клинская ,9,Грачёвская,
HOUSE MALL - Городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/314780092/,Москва,sale,flat,7,58,2,109.0,-1,0,42000000,Ростокино,проспект Мира,188Бк3,Ростокино,Триколор
Downtown Estate,real_estate_agent,https://www.cian.ru/sale/flat/316570308/,Москва,sale,flat,3,12,2,66.0,-1,0,82000000,Раменки,Мосфильмовская ,1к3,Ломоносовский проспект,Вишневый сад
Метр-Инфо,real_estate_agent,https://www.cian.ru/sale/flat/315419765/,Москва,sale,flat,7,9,2,47.0,-1,0,18700000,Обручевский, Гарибальди,20/29К2,Новые Черёмушки,
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/314434357/,Москва,sale,flat,4,7,2,66.1,-1,0,77966246,Арбат,Поварская ,8/1к1,Арбатская,De Luxe квартал апартаментов Театральный Дом
ID 83521175,homeowner,https://www.cian.ru/sale/flat/316824536/,Москва,sale,flat,4,17,2,51.4,-1,0,23500000,Басманный, Госпитальный Вал,5С4,Электрозаводская,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/316781929/,Москва,sale,flat,10,17,2,58.0,-1,0,29960000,Тверской,Садовая-Триумфальная ,12/14С1,Маяковская,
ЛюксДом,real_estate_agent,https://www.cian.ru/sale/flat/316969954/,Москва,sale,flat,28,29,2,53.0,-1,0,49000000,Якиманка,Мытная ,40к4,Серпуховская,Sky House
Виктория Демина,realtor,https://www.cian.ru/sale/flat/316959235/,Москва,sale,flat,3,12,2,50.8,-1,0,27500000,Басманный, Фридриха Энгельса,7-21,Бауманская,
Наталья Веселова,realtor,https://www.cian.ru/sale/flat/316538189/,Москва,sale,flat,5,9,2,49.7,-1,0,17000000,Отрадное,Юрловский проезд,7,Отрадное,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/314484539/,Москва,sale,flat,3,21,2,71.0,-1,0,85000000,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/315555025/,Москва,sale,flat,4,7,2,66.1,-1,0,77966246,Арбат,Поварская ,8/1к1,Арбатская,De Luxe квартал апартаментов Театральный Дом
Андрей Гладышев,realtor,https://www.cian.ru/sale/flat/316087122/,Москва,sale,flat,7,9,2,38.0,-1,0,14000000,Даниловский,3-я Рощинская ,5,Тульская,
GLINCOM,official_representative,https://www.cian.ru/sale/flat/310272059/,Москва,sale,flat,4,8,2,58.7,-1,0,26602840,Савеловский, Верхняя Масловка,20,Петровский Парк,Verdi
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/315412994/,Москва,sale,flat,16,41,2,55.0,-1,0,30900000,Раменки,1-й Сетуньский проезд,8,Кутузовская,Hide
